2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=49066.15 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=SpiceJet is_business=0 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=5455.91 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=24845.96 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=IndiGo is_business=0 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=7600.67 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=IndiGo is_business=0 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=11206.57 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=AirAsia is_business=0 month=2
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=5788.24 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=3
2026-05-22 13:43:52 | INFO     | api.main:predict:158 | Prediction complete — price=60625.44 INR
2026-05-22 13:43:52 | INFO     | api.main:predict:133 | Prediction request — airline=SpiceJet is_business=0 month=3
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=3695.39 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=GO FIRST is_business=0 month=3
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=6365.04 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=AirAsia is_business=0 month=2
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=5788.10 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=IndiGo is_business=0 month=3
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=4028.17 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=Vistara is_business=1 month=3
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=54166.20 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=AirAsia is_business=0 month=3
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=3570.73 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=IndiGo is_business=0 month=3
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=5167.25 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=Vistara is_business=1 month=2
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=48431.10 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=AirAsia is_business=0 month=3
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=3078.48 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=GO FIRST is_business=0 month=2
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=8750.17 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=2
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=30535.79 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=Vistara is_business=1 month=3
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=63318.70 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=Vistara is_business=1 month=3
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=61112.53 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=Air India is_business=1 month=3
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=34907.01 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=IndiGo is_business=0 month=3
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=5744.22 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=GO FIRST is_business=0 month=2
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=7971.86 INR
2026-05-22 13:43:53 | INFO     | api.main:predict:133 | Prediction request — airline=SpiceJet is_business=0 month=2
2026-05-22 13:43:53 | INFO     | api.main:predict:158 | Prediction complete — price=5809.02 INR
